State,County,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,PCT_LACCESS_CHILD15,PCT_LACCESS_SENIORS15,PCT_LACCESS_WHITE15,PCT_LACCESS_BLACK15,PCT_LACCESS_HISP15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_MULTIR15,GROCPTH14,SUPERCPTH14,CONVSPTH14,SPECSPTH14,SNAPSPTH16,FFRPTH14,FSRPTH14,PCT_SNAP16,PCT_NSLP15,PCT_SBP15,PCH_SFSP_09_15,PCT_SFSP15,PCT_WIC15,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14,FMRKTPTH16,PCT_FMRKT_SNAP16,PCT_FMRKT_WIC16,PCT_FMRKT_WICCASH16,PCT_FMRKT_SFMNP16,PCT_FMRKT_CREDIT16,PCT_FMRKT_FRVEG16,PCT_FMRKT_ANMLPROD16,PCT_FMRKT_BAKED16,PCT_FMRKT_OTHERFOOD16,FOODHUB16,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFACPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,METRO13
AL,Autauga,32.062254747184035,11.991125000212604,3.3513316313738293,4.608749252541551,8.460485385752763,3.9962787647370215,23.163613299188945,7.726582238851551,0.8633453012590149,0.1590001560715893,0.11209226360329974,0.01615869367843978,0.884808108518433,0.072208683,0.0180522,0.541565123,0.0361043,0.760911409460565,0.649878148,0.523512952,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.018045329868629997,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0,13.0,34.1,25.400000000000006,0.090260854,77.2461563834271,17.582598816221072,2.4005424126367485,0.8557658829781385,0.39764710194059116,0.04031445273130417,11.995382162687141,26.777958989206724,56580.0,12.7,1
AL,Baldwin,16.767489331327024,5.4244265969613314,1.9051144660996444,1.2989003685463132,3.8449360411209934,3.061840062297144,13.981393471569364,1.9427568795193702,0.7559733541604038,0.11683339006092339,0.09966238625708228,0.008130817111661097,0.6187123684238006,0.14491957,0.0299834,0.589672732,0.12992789,0.949752992301287,0.659633903,1.104387065,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.01917885722779208,0.0,0.0,0.0,100.0,50.0,75.0,100.0,75.0,75.0,0,10.4,27.4,25.400000000000006,0.124930663,83.50478698598195,9.308424546676543,4.384824294296766,0.7351932625572656,0.6287548349930048,0.04334348338957013,16.771184813321263,22.987408443749484,52387.0,12.9,1
AL,Barbour,22.105560066973666,10.739666573274102,4.329378079092943,4.303147049779694,3.758341320879411,3.001694513042313,10.302934444774191,9.881359688690097,1.855182740477175,0.06226612536129292,0.14553857556290964,0.029436486085935396,1.6840246747800232,0.185963477,0.0371927,0.706661212,0.074385391,1.35438731625907,0.818239298,0.55789043,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.154053533602927,50.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0,18.4,44.4,25.400000000000006,0.0,46.75310485486397,46.691189860509155,5.05153512765415,0.3897002585861529,0.21852350948756236,0.08740940379502495,14.236806643114688,21.906981826128128,31433.0,32.0,0
AL,Bibb,4.2303244206186426,2.6016270076683963,2.8214274439833398,0.6767103234591161,1.015241851061283,0.6008650706805324,2.3587704067468778,1.8289327623129479,0.03751587380289012,0.008703111441598778,0.010967039847195766,0.0,0.022951097716443027,0.222162979,0.0444326,0.666488936,0.0444326,0.864873618042368,0.222162979,0.222162979,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.04416375921918474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.8,40.3,25.400000000000006,0.0444326,75.02072878027492,21.92450360026184,1.7717652192886755,0.09600698232598735,0.27929303949378137,0.030547676194632337,12.68164957451451,22.696923412611827,40767.0,22.2,1
AL,Blount,6.497380137361867,2.8801498232112803,3.3364141441489017,0.8127274929922376,1.5887200603768292,0.8825830962766426,5.909147039114545,0.16720052906872424,0.8678864856259867,0.014704641143427986,0.05048365763757057,0.0018541767164650393,0.35399006757299123,0.103951905,0.0173253,0.467783572,0.0,0.815945746106567,0.363831667,0.259879762,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.017329821156245668,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0,14.1,34.6,25.400000000000006,0.051976,88.88733819475942,1.2630403684449252,8.070199923240642,0.20062105299884864,0.49719130525801614,0.03140155612155891,14.722096228324203,24.608352813928335,50487.0,14.7,1
AL,Bullock,37.950342361794206,19.74335074065961,11.104440609899546,6.016622830144433,5.650681600684799,5.190941491302208,13.397438670926883,24.138782160842588,0.22062387215636522,0.008876197589379155,0.07060003280027194,0.0,0.3346451467837465,0.185804534,0.0,0.2787068,0.0,1.06961333075983,0.2787068,0.092902267,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.09650646593321752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.6,43.0,25.400000000000006,0.0,21.916804104819498,69.97434487813817,7.119296316657504,0.1832508704416346,0.1832508704416346,0.03665017408832692,13.459776433938062,22.264980758658602,28251.0,39.6,0
AL,Butler,6.226804584468373,2.926121930559144,3.770678377587316,1.0768789929632352,1.260992579269561,1.2162512063128037,3.4837084626486847,2.629976142802019,0.05291880409741299,0.023657317784822027,0.034843935581108126,0.0,0.05461873853629494,0.147812377,0.0492708,1.034686638,0.0,1.29179584625129,0.837603469,0.492707923,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.10001000100010002,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0,17.7,36.3,25.400000000000006,0.0492708,54.06024729078149,43.18995560223421,0.9118250823506946,0.830667876068172,0.28166324533346065,0.03341767317515635,16.65632310116007,24.137107939084355,33868.0,25.8,0
AL,Calhoun,23.433851807648516,9.178566582982912,2.6098954796953793,4.080320207731614,5.201704016985663,3.7574743345402033,17.759976180911682,4.609625527394503,0.8188216362784865,0.19825186597814828,0.09976766445746299,0.0185216634544734,0.7477089569130562,0.232927292,0.0258808,0.638393319,0.0086269,1.18298708966271,0.888574485,0.66427413,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.01745033199256616,50.0,0.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,0,14.9,32.2,25.400000000000006,0.0603886,73.61350065782815,20.39014269810748,3.283237189218365,0.6999966265222818,0.40481732618156063,0.07927672637722229,14.328846607968154,22.877239145835443,42091.0,20.0,1
AL,Chambers,20.843214136062457,10.328558281147888,5.240802890493261,3.607493205587612,4.66273228088964,3.7013984355532368,12.512378829320417,7.648583992883823,0.3705586179206693,0.31709310422292564,0.06046513440048663,0.0001785802309503814,0.3045144529659506,0.205423172,0.0293462,0.67496185,0.0586923,1.10805779629465,0.763000352,0.469538678,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.029548207901190792,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0,16.4,39.7,25.400000000000006,0.0,58.14116615519509,38.59710653222271,1.5665643723513079,0.4851673242729797,0.16659359929855327,0.020458863071752154,16.676896098202544,22.51351746310098,35560.0,22.4,0
AL,Cherokee,0.39833198231404826,0.2211124003094359,2.822199537318709,0.04600567762648419,0.07213667679747816,0.053018598228049565,0.38820591855052905,0.005428886443905191,0.0013426912390104159,0.0,0.000835141488164404,0.0,0.0038620365436758627,0.192034413,0.0384069,0.691323885,0.0384069,1.2568837058633,0.576103238,0.422475708,16.97643575350071,10.93452934248121,5.2329982595108975,0.46221921943258293,1.0271087814950426,2.7193521519644355,4.0,4.0,4.0,4.0,4.0,0.038872691933916424,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0,13.3,33.6,25.400000000000006,0.0384069,92.07356958713302,4.640424795105622,1.2312901612220555,0.18854130593712726,0.4694293739659086,0.0038477817538189237,17.896032937011814,21.41675324175613,39144.0,19.4,0
